	0	1	2	3
2	Jul 1st 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-874.html	Bushkill	Pennsylvania
3	Jul 1st 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-873.html	Bushkill	Pennsylvania
4	Jun 29th 1994	http://www.profightdb.com/cards/wwf/wwf-live-19094.html	Bakersfield	California
5	Jun 22nd 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-409-15360.html	Poughkeepsie	New York
6	Jun 22nd 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-408-15359.html	Poughkeepsie	New York
7	Jun 22nd 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-407-15358.html	Poughkeepsie	New York
8	Jun 21st 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-407-13182.html	Wilkes-Barre	Pennsylvania
9	Jun 21st 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-406-13181.html	Wilkes-Barre	Pennsylvania
0	Jun 21st 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-405-13180.html	Wilkes-Barre	Pennsylvania
1	Jun 20th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-872.html	White Plains	New York
2	Jun 20th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-871.html	White Plains	New York
3	Jun 20th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-870.html	White Plains	New York
4	Jun 19th 1994	http://www.profightdb.com/cards/wwf/king-of-the-ring-3994-35.html	Baltimore	Maryland
5	May 25th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-404-13151.html	Erie	Pennsylvania
6	May 25th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-403-13149.html	Erie	Pennsylvania
7	May 25th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-402-13147.html	Erie	Pennsylvania
8	May 24th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-406-15357.html	Canton	Ohio
9	May 24th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-405-15356.html	Canton	Ohio
0	May 24th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-404-15355.html	Canton	Ohio
1	May 23rd 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-869.html	Youngstown	Ohio
2	May 23rd 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-868.html	Youngstown	Ohio
3	May 23rd 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-867.html	Youngstown	Ohio
4	May 20th 1994	http://www.profightdb.com/cards/wwf/msg-show-may-3994-2-5141.html	New York	New York
5	May 20th 1994	http://www.profightdb.com/cards/wwf/msg-show-may-3994-1-5140.html	New York	New York
6	Apr 28th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-403-15354.html	Springfield	Massachusetts
7	Apr 28th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-402-15353.html	Springfield	Massachusetts
8	Apr 28th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-401-15345.html	Springfield	Massachusetts
9	Apr 27th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-401-13144.html	Albany	New York
0	Apr 27th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-400-13143.html	Albany	New York
1	Apr 27th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-399-13141.html	Albany	New York
2	Apr 26th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-866.html	Burlington	Vermont
3	Apr 26th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-865.html	Burlington	Vermont
4	Apr 25th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-864.html	Burlington	Vermont
5	Apr 13th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-398-13134.html	Rochester	New York
6	Apr 13th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-397-13133.html	Rochester	New York
7	Apr 13th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-396-13102.html	Rochester	New York
8	Apr 12th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-400-15344.html	Rochester	New York
9	Apr 12th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-399-15343.html	Rochester	New York
0	Apr 12th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-398-15342.html	Rochester	New York
1	Apr 11th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-863.html	Utica	New York
2	Apr 11th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-862.html	Utica	New York
3	Apr 11th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-861.html	Utica	New York
4	Mar 23rd 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-397-15341.html	White Plains	New York
5	Mar 23rd 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-396-15331.html	White Plains	New York
6	Mar 23rd 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-395-15330.html	White Plains	New York
7	Mar 22nd 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-395-13100.html	Lowell	Massachusetts
8	Mar 22nd 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-394-13099.html	Lowell	Massachusetts
9	Mar 22nd 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-393-13097.html	Lowell	Massachusetts
0	Mar 21st 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-860.html	Poughkeepsie	New York
1	Mar 21st 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-859.html	Poughkeepsie	New York
2	Mar 21st 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-858.html	Poughkeepsie	New York
